,city,lat,temp_max,windspeed,cloudiness,humidity
359,nassogne,50.13,48.0,3.36,75,93
360,necochea,-38.55,61.0,8.01,0,64
361,tandil,-37.33,67.1,8.48,0,55
362,aripuana,-9.17,89.01,2.68,100,56
363,ariquemes,-9.91,87.94,3.0,43,60
364,salalah,17.01,80.6,3.36,0,74
365,faanui,-16.48,81.01,7.49,14,72
366,pacifica,37.61,78.01,8.05,90,93
367,kerema,-7.96,74.55,1.68,77,91
368,bud,62.91,33.8,9.17,100,74
369,moron,18.56,81.48,10.4,5,78
370,maputo,-25.97,75.2,14.99,20,83
371,komsomolskiy,67.55,22.05,19.44,100,93
372,puerto penasco,31.32,73.99,5.01,52,54
373,alofi,-19.06,75.2,11.41,1,73
374,sorong,-0.86,72.16,2.08,99,99
375,kununurra,-15.77,75.2,1.12,100,88
376,shihezi,44.3,46.56,12.21,100,62
377,amasia,40.96,30.2,1.12,63,86
378,seoul,37.57,44.6,2.24,1,100
379,morehead,38.18,53.6,3.36,90,70
380,ipixuna,-1.76,86.0,14.99,75,70
381,olinda,-37.84,60.01,13.87,39,58
382,arenapolis,-14.45,79.39,3.96,100,76
383,juchipila,21.41,77.65,6.46,34,36
384,mittagong,-34.45,54.0,8.05,0,81
385,warrnambool,-38.38,52.0,4.0,45,86
386,college,64.86,21.2,3.22,1,91
387,bechem,7.09,73.62,1.74,100,86
388,saskylakh,71.97,-7.5,3.89,84,96
389,saint-augustin,45.63,48.2,10.29,90,93
390,itaituba,-4.26,95.0,9.17,20,50
391,melfi,41.0,66.2,9.17,40,72
392,homer,59.64,42.8,7.14,90,93
393,ulaangom,49.98,25.25,0.96,67,67
394,jalu,29.03,71.08,5.46,0,38
395,pacific grove,36.62,78.01,5.82,1,59
396,griffith,-34.29,48.2,3.36,0,87
397,manaul,12.45,80.53,8.19,100,80
398,nongstoin,25.52,51.01,2.13,0,87
399,babocsa,46.04,59.22,14.45,100,88
400,paita,-5.09,62.6,12.75,0,100
401,iguape,-24.7,74.46,5.68,100,98
402,port elizabeth,39.31,66.2,9.17,1,39
403,north branch,45.51,33.01,5.82,1,39
404,shizunai,42.33,31.84,5.37,72,96
405,loandjili,-4.77,78.8,5.82,0,88
406,dunedin,-45.87,53.01,5.99,100,77
407,kholmy,56.41,30.2,15.66,75,80
408,diapaga,12.07,82.42,5.12,0,24
409,sarkand,45.41,32.43,2.51,100,74
410,laguna,16.17,86.0,6.93,40,57
411,soyo,-6.13,78.8,3.36,20,83
412,katsuura,33.93,50.0,10.29,75,76
413,nhulunbuy,-12.18,73.4,11.88,53,94
414,kirakira,-10.46,80.92,1.9,55,72
415,svetlogorsk,53.14,32.0,13.42,90,70
416,fortuna,40.6,55.99,6.93,1,82
417,acajutla,13.59,87.8,4.7,20,43
418,gidole,5.65,66.29,0.56,59,78
419,novyy urengoy,66.08,13.95,11.99,100,92
420,nabire,-3.36,71.15,1.86,100,94
421,ranong,9.96,80.53,8.9,31,80
